id,dip_exp,dip_gdbt,label
878,2.6551099999999996,5.236546832389235,Train
1571,7.0541,6.629971088988463,Train
1814,2.10585,3.510836031582227,Train
890,3.5663400000000003,3.5855845710006404,Train
852,4.39511,4.36624644906241,Train
4903,3.6982,2.9111658998082,Train
1364,3.0194099999999997,4.244528177385579,Train
3738,5.79767,5.0904063530286034,Train
2275,3.2178299999999997,3.724048444097156,Train
1442,1.4385700000000001,1.9712349306367665,Train
847,4.006,3.4339587757445558,Train
1766,3.26218,3.9050145538661796,Train
684,6.0519099999999995,4.82325978280526,Train
396,10.251489999999999,7.050175318506028,Train
2779,2.13923,3.3808682352703814,Train
1887,2.7942,2.5748123848524473,Train
4340,3.3864300000000003,2.3522784975272626,Train
1109,2.39469,2.9237332770986595,Train
1281,5.13663,4.489400605624004,Train
1765,2.766,3.880062581898353,Train
401,1.90435,2.8493763314422687,Train
4767,3.23093,2.6540562397179204,Train
4323,1.27762,1.4891364309714494,Train
2533,4.39155,2.660034032356062,Train
4662,1.35133,1.2982820546316698,Train
3687,1.57053,2.2021483220244056,Train
1482,2.65026,4.863058168165874,Train
1986,2.5425400000000002,4.374215552458508,Train
775,2.70618,2.7847638850334167,Train
3932,7.45495,4.373458262878688,Train
3469,3.81605,5.076264455018237,Train
1437,8.676839999999999,8.040351099684676,Train
3457,7.0882,6.34579172066502,Train
1343,1.6857099999999998,3.0125193907794596,Train
1778,5.31455,6.775186822770761,Train
156,2.28829,2.70713611475241,Train
3848,7.2004600000000005,4.83570655490679,Train
5000,0.82905,0.8067628146385998,Train
4820,4.92519,4.083746253273308,Train
1666,2.57194,2.3122572060631925,Train
22,3.3153300000000003,3.314113069224667,Train
3836,8.974739999999999,6.471429073964761,Train
4096,4.25444,3.582451087674335,Train
2692,7.9087,5.313488488348769,Train
3617,4.9509,4.16842490314042,Train
4723,9.0862,5.7285262174527665,Train
2306,2.73322,3.338246249805827,Train
3726,7.75127,4.666674035980292,Train
3701,4.31495,3.998723845166793,Train
4740,3.7836300000000005,3.1597077112246805,Train
3583,1.81673,2.890120167051332,Train
